gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Add_1_grad/Sum_1	Sum	GPU-0	0	468	1107	(128x128)(int32 1x1)->(128x128)	0	10	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/MatMul_grad/MatMul	BatchMatMul	GPU-0	0	8775	8775	(128x1x128)(128x29x128)->(128x1x29)	3	3	0
gradients/Switch	Switch	GPU-0	0	296	1448	(int32 1x1)(int32 1x1 slot 1 slot )(boolean 1x1)->(int32 1x1)	0	10	0
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Add_grad/BroadcastGradientArgs/Enter	Enter	GPU-0	0	10	36	(tf_resource 1x1)->(tf_resource 1x1)	0	10	0
dynamic_seq2seq/decoder/attention/bahdanau_attention/query_layer/kernel/read	Identity	GPU-0	0	9	30	(128x128)->(128x128)	0	10	0
clip_by_global_norm/mul_11	Mul	GPU-0	0	17	17	(512x1)(1x1)->(512x1)	10	10	0
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/Mul/StackPopV2	StackPopV2	GPU-0	0	349	1004	(tf_resource 1x1)->(128x128)	0	10	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/Select_grad/Select/f_acc	StackV2	GPU-0	0	36	57	(int32 1x1)->(tf_resource 1x1)	0	10	0
GradientDescent/update_dynamic_seq2seq/decoder/attention/multi_rnn_cell/cell_0/basic_lstm_cell/bias/ApplyGradientDescent	ApplyGradientDescent	GPU-0	0	21	21	(512x1)(1x1)(int32 1x1 slot 1 slot )(512x1)->(512x1)	10	10	0
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/MatMul_grad/MatMul_1/StackPushV2	StackPushV2	GPU-0	0	669	1398	(tf_resource 1x1)(128x256)->(128x256)	0	10	0
dynamic_seq2seq/decoder/output_projection/Tensordot/Shape	Shape	GPU-0	0	2	3	(39x128x128)->(int32 3x1)	0	1	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/bahdanau_attention/mul_grad/Reshape_1	Reshape	GPU-0	0	39	130	(128x39x128)(int32 3x1)->(128x39x128)	0	1	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_2_grad/BroadcastGradientArgs/StackPushV2_1	StackPushV2	GPU-0	0	471	1047	(tf_resource 1x1)(int32 2x1)->(int32 2x1)	0	10	0
dynamic_seq2seq/decoder/BahdanauAttention/Reshape	Reshape	GPU-0	0	2	4	(128x50)(int32 3x1)->(128x50x1)	0	1	0
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/Select	Select	GPU-0	0	114	114	(boolean 128x50)(128x50)(128x50)->(128x50)	1	1	0
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/Mul_1	Mul	GPU-0	0	711	711	(128x128)(128x128)->(128x128)	10	10	0
dynamic_seq2seq/decoder/attention/bahdanau_attention/attention_v/read	Identity	GPU-0	0	11	35	(128x1)->(128x1)	0	10	0
dynamic_seq2seq/decoder/decoder/while/Enter_6	Enter	GPU-0	0	11	89	(128x128)->(128x128)	0	10	0
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/TrainingHelperNextInputs/GreaterEqual/Enter	Enter	GPU-0	0	2	6	(int32 128x49)(int32 128x48 slot 1 slot )(int32 128x48 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )->(int32 128x1)	0	1	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/MatMul/Enter_grad/b_acc_2	Exit	GPU-0	0	0	3	(128x39x128)->(128x39x128)	0	1	0
dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/dropout/add	Add	GPU-0	0	653	653	(1x1)(128x128)->(128x128)	10	10	0
gradients/dynamic_seq2seq/decoder/BahdanauAttention/memory_layer/Tensordot/Reshape_grad/Reshape	Reshape	GPU-0	0	1	6	(6272x128)(int32 3x1)->(128x49x128)	0	1	0
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/Squeeze_grad/Reshape/StackPushV2	StackPushV2	GPU-0	0	661	1244	(tf_resource 1x1)(int32 3x1)->(int32 3x1)	0	10	0
gradients/dynamic_seq2seq/encoder/rnn/while/Select_1_grad/Select/Const	Const	GPU-0	0	26	61	(no input)->(int32 1x1)	0	10	0
gradients/dynamic_seq2seq/encoder/rnn/TensorArrayUnstack/TensorArrayScatter/TensorArrayScatterV3_grad/TensorArrayGatherV3/MEMCPYHtoD	MEMCPYHtoD	GPU-0	0	1	1	(Transfer)->(400 bytes)	0	0	1
global_norm_1/L2Loss_1	L2Loss	GPU-0	0	81	81	(3712x128)->(1x1)	3	3	0
gradients/dynamic_seq2seq/encoder/rnn/TensorArrayUnstack/TensorArrayScatter/TensorArrayScatterV3_grad/TensorArrayGatherV3	TensorArrayGatherV3	GPU-0	0	105	112	(tf_resource 1x1)(1x1 slot 1 slot )(int32 9x1)(1x1)->(9x128x128)	0	1	0
gradients/dynamic_seq2seq/decoder/BahdanauAttention/memory_layer/Tensordot_grad/Reshape	Reshape	GPU-0	0	1	4	(128x49x128)(int32 2x1)->(6272x128)	0	1	0
