Node	Time
5092.74	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x19)(int32 128x19)(int32 128x19)(int32 128x1)(int32 128x1)	 
3218.26	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(2432x17191)(int32 2432x1)->(2432x1)(2432x17191)	 
2818.41	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x29)(int32 128x29)(int32 128x29)(int32 128x1)(int32 128x1)	 
2408.79	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(3712x17191)(int32 3712x1)->(3712x1)(3712x17191)	 
1696.84	GPU-0	TensorArrayV3	|	(int32 1x1)->(tf_resource 1x1)(1x1)	 
1636.16	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)	 
1250.98	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)	 
1162.85	GPU-0	MatMul	|	(2432x17191)(128x17191)->(2432x128)	 
1108.65	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(4992x17191)(int32 4992x1)->(4992x1)(4992x17191)	 
1081.24	GPU-0	TensorArrayV3	|	(int32 1x1)->(tf_resource 1x1)(1x1)	 
1049.67	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x50)(int32 128x51)(int32 128x51)(int32 128x1)(int32 128x1)	 
1015.35	GPU-0	MatMul	|	(2432x128)(128x17191)->(2432x17191)	 
999.83	GPU-0	Less	|	(int32 29x1)(int32 128x1)->(boolean 128x29)	 
867.56	GPU-0	MatMul	|	(3712x17191)(128x17191)->(3712x128)	 
862.36	GPU-0	Less	|	(int32 39x1)(int32 128x1)->(boolean 128x39)	 
853.85	GPU-0	MatMul	|	(2432x128)(2432x17191)->(128x17191)	 
834.47	GPU-0	Less	|	(int32 19x1)(int32 128x1)->(boolean 128x19)	 
759.27	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(6272x17191)(int32 6272x1)->(6272x1)(6272x17191)	 
750.75	GPU-0	ConcatV2	|	(128x128)(128x128)(128x128)(128x128)(int32 1x1)->(128x512)	 
743.03	GPU-0	MatMul	|	(3712x128)(128x17191)->(3712x17191)	 
670.96	CPU-0	IteratorGetNext	|	(tf_resource 1x1)->(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)	 
670.15	GPU-0	Less	|	(int32 50x1)(int32 128x1)->(boolean 128x50)	 
669.36	GPU-0	Mul	|	(2432x1)(2432x17191)->(2432x17191)	 
654.55	GPU-0	MatMul	|	(128x384)(128x512)->(384x512)	 
653.58	GPU-0	MatMul	|	(3712x128)(3712x17191)->(128x17191)	 
652.36	GPU-0	MatMul	|	(128x256)(128x512)->(256x512)	 
606.84	GPU-0	BatchMatMul	|	(128x1x128)(128x19x128)->(128x1x19)	 
590.94	GPU-0	MatMul	|	(128x256)(128x512)->(256x512)	 
577.07	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(6528x17191)(int32 6528x1)->(6528x1)(6528x17191)	 
564.43	GPU-0	MatMul	|	(128x512)(384x512)->(128x384)	 
528.33	GPU-0	MatMul	|	(128x512)(256x512)->(128x256)	 
515.91	GPU-0	MatMul	|	(128x512)(256x512)->(128x256)	 
515.09	GPU-0	BatchMatMul	|	(128x1x128)(128x29x128)->(128x1x29)	 
511.78	GPU-0	Mul	|	(3712x1)(3712x17191)->(3712x17191)	 
509.68	GPU-0	MatMul	|	(128x256)(128x512)->(256x512)	 
476.53	GPU-0	Less	|	(int32 49x1)(int32 128x1)->(boolean 128x49)	 
475.4	GPU-0	MatMul	|	(128x384)(384x512)->(128x512)	 
457.69	GPU-0	MatMul	|	(128x512)(256x512)->(128x256)	 
455.49	GPU-0	TensorArrayV3	|	(int32 1x1)->(tf_resource 1x1)(1x1)	 
455.06	GPU-0	MEMCPYHtoD	|	(Transfer)->(1024 bytes)	 
453.49	GPU-0	ConcatV2	|	(128x128)(128x128)(128x128)(128x128)(int32 1x1)->(128x512)	 
438.07	GPU-0	BatchMatMul	|	(128x1x128)(128x19x128)->(128x1x19)	 
429.37	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(4864x17191)(int32 4864x1)->(4864x1)(4864x17191)	 
